Fulham,Barnsley,4,1,1.28,5.5,11,1.57,2.37
Huddersfield,West Brom,1,0,3.8,3.3,2.05,2.2,1.66
Hull,Birmingham,2,0,2.6,3.25,2.8,2.2,1.66
Middlesbrough,Millwall,1,1,2.05,3.25,3.8,2.3,1.61
Preston,Cardiff,1,2,2.15,3.25,3.6,2.1,1.72
Reading,Nott'm Forest,1,1,3.1,3.3,2.37,2.1,1.72
Stoke,Peterboro,2,0,1.55,4,6.5,1.83,2.02
Swansea,Blackpool,1,1,1.85,3.5,4.5,2.1,1.72
Derby,Bournemouth,3,2,4.5,3.5,1.8,2.3,1.61
Blackpool,West Brom,0,0,4.33,3.5,1.85,2,1.8
Coventry,Birmingham,0,0,2.05,3.3,3.8,2.2,1.66
Middlesbrough,Preston,1,2,2,3.3,3.8,2.3,1.61
Nott'm Forest,Luton,0,0,2.6,3.1,2.87,2.3,1.61
Reading,Sheffield United,0,1,4,3.5,1.95,1.98,1.88
Barnsley,Swansea,0,2,3,3.3,2.37,2,1.8
Blackburn,Peterboro,4,0,1.7,3.75,5,1.83,2.02
Bristol City,Stoke,1,0,3.4,3.4,2.15,2,1.85
Cardiff,Hull,0,1,2.05,3.4,3.8,2,1.8
Fulham,Derby,0,0,1.28,5.5,10,1.72,2.1
Millwall,Bournemouth,1,1,3.6,3.3,2.15,2.2,1.66
QPR,Huddersfield,1,0,2.05,3.4,3.75,2.05,1.8
Bolton,Milton Keynes Dons,3,3,2.3,3.4,3,1.88,1.98
Cambridge,Oxford,1,1,3.6,3.5,2,1.98,1.88
Crewe,Cheltenham,1,1,1.9,3.6,3.75,2.07,1.72
Doncaster,AFC Wimbledon,1,2,2.05,3.5,3.4,2.05,1.75
Fleetwood Town,Portsmouth,0,1,3.1,3.3,2.3,2.25,1.61
Gillingham,Lincoln,1,1,3.1,3.25,2.37,2.05,1.75
Ipswich,Morecambe,2,2,1.61,4,5,1.8,2
Rotherham,Plymouth,2,0,1.83,3.6,4.2,1.95,1.9
Shrewsbury,Burton,0,1,2.4,3.25,3,2.25,1.61
Sunderland,Wigan,2,1,1.9,3.6,3.8,1.93,1.93
Wycombe,Accrington,2,1,1.9,3.6,4,2.02,1.83
Charlton,Sheffield Weds,0,0,2.5,3.25,2.8,2.15,1.66
Accrington,Cambridge,2,1,2,3.5,3.8,2,1.8
AFC Wimbledon,Bolton,3,3,2.75,3.25,2.62,2.1,1.7
Burton,Ipswich,2,1,2.87,3.25,2.5,2.15,1.66
Cheltenham,Wycombe,1,3,3.1,3.2,2.4,2.15,1.66
Lincoln,Fleetwood Town,2,1,2.1,3.3,3.8,2.1,1.7
Milton Keynes Dons,Sunderland,1,2,3.4,3.4,2.15,2.02,1.91
Morecambe,Shrewsbury,2,0,2.9,3.3,2.45,2.1,1.7
Oxford,Charlton,2,1,2.4,3.3,3,2.02,1.91
Plymouth,Gillingham,1,0,2.62,3.4,2.62,1.8,2
Portsmouth,Crewe,2,0,1.75,3.75,4.5,2.06,1.87
Sheffield Weds,Doncaster,2,0,1.7,3.8,5,2.01,1.92
Wigan,Rotherham,1,0,2.62,3.4,2.62,1.99,1.94
Accrington,Doncaster,1,0,2.05,3.6,3.5,1.95,1.85
AFC Wimbledon,Gillingham,1,1,1.95,3.3,4.2,1.95,1.85
Burton,Sunderland,1,0,3.5,3.3,2.15,2.1,1.7
Cheltenham,Ipswich,2,1,2.87,3.1,2.62,2.35,1.57
Lincoln,Bolton,0,1,2.2,3.4,3.3,1.9,1.9
Milton Keynes Dons,Charlton,2,1,2.55,3.5,2.7,1.9,1.9
Morecambe,Rotherham,0,1,4,3.4,2,1.85,1.95
Oxford,Crewe,1,0,1.7,3.75,5,1.85,1.95
Plymouth,Cambridge,1,1,1.95,3.75,3.6,1.95,1.85
Portsmouth,Shrewsbury,1,0,1.66,3.8,5.25,2.15,1.66
Sheffield Weds,Fleetwood Town,1,0,1.95,3.25,4.2,2.4,1.53
Wigan,Wycombe,1,1,2.4,3.4,3,2,1.8
Rotherham,Sheffield Weds,0,2,2.15,3.25,3.6,2.3,1.6
Bolton,Oxford,2,1,2.62,3.5,2.6,1.85,1.95
Cambridge,Burton,3,0,3.1,3.25,2.37,1.95,1.85
Charlton,Wigan,0,2,2.3,3.4,3.1,2,1.8
Crewe,Accrington,0,1,2.8,3.5,2.45,1.95,1.85
Doncaster,Portsmouth,0,0,3.6,3.25,2.2,2.07,1.72
Fleetwood Town,Cheltenham,3,2,2.3,3.2,3.3,2.3,1.6
Gillingham,Morecambe,2,1,2.1,3.4,3.6,2,1.8
Ipswich,Milton Keynes Dons,2,2,2.3,3.3,3.2,1.95,1.98
Shrewsbury,Plymouth,0,3,2.3,3.4,3.1,2.1,1.7
Sunderland,AFC Wimbledon,1,0,1.66,3.8,5.25,1.85,1.95
Wycombe,Lincoln,1,0,2.45,3.3,2.9,1.95,1.85
Burton,Cheltenham,1,1,2.4,3.3,3,2.15,1.66
Rotherham,Doncaster,2,0,1.57,4,6,2,1.8
Cambridge,Bolton,1,0,3.1,3.4,2.3,1.9,1.9
Charlton,Crewe,2,0,1.8,3.75,4.33,2,1.8
Ipswich,AFC Wimbledon,2,2,2,3.5,3.8,2,1.8
Milton Keynes Dons,Accrington,2,0,2.2,3.5,3.25,1.75,2.05
Morecambe,Sheffield Weds,1,0,4.5,3.4,1.9,2.05,1.75
Oxford,Lincoln,3,1,2.05,3.4,3.6,2,1.8
Plymouth,Fleetwood Town,1,1,2.5,3.25,3,2,1.8
Shrewsbury,Gillingham,2,1,2.45,3.2,3.1,2.35,1.57
Sunderland,Wycombe,3,1,1.95,3.4,4,2,1.8
Wigan,Portsmouth,1,0,2.75,3.3,2.62,2.15,1.66
Accrington,Shrewsbury,1,0,2.05,3.4,3.75,2.2,1.65
